,Text-Only Claims,Claims with Normal Images,Claims with AI Images,Claims with Altered Images
Absolute,"{True: 21, False: 14}","{True: 25, False: 23}","{True: 6, False: 3}","{True: 2, False: 5}"
Percentage,"{True: '60.0%', False: '40.0%'}","{True: '52.1%', False: '47.9%'}","{True: '66.7%', False: '33.3%'}","{True: '28.6%', False: '71.4%'}"
