,DEFAME,w/o Web Search,w/o RIS,w/o Image Search,w/o Geolocate
BA,0.93 ± 0.01,0.62 ± 0.07,0.90 ± 0.04,0.90 ± 0.05,0.92 ± 0.01
MCC,0.53 ± 0.01,0.17 ± 0.09,0.49 ± 0.04,0.49 ± 0.05,0.49 ± 0.03
TNR,0.87 ± 0.01,0.90 ± 0.05,0.86 ± 0.04,0.86 ± 0.02,0.84 ± 0.02
Macro F1,0.71 ± 0.01,0.58 ± 0.04,0.70 ± 0.03,0.69 ± 0.02,0.68 ± 0.02
Correct,86 ± 1,86 ± 4,86 ± 3,86 ± 1,84 ± 2
Wrong,12 ± 1,13 ± 4,13 ± 3,13 ± 2,15 ± 2
Consistently Wrong,2,2,6,1,2
FP,12 ± 1,9 ± 4,13 ± 4,13 ± 2,15 ± 2
FN,0 ± 0,3 ± 3,0 ± 1,0 ± 1,0 ± 0
