,DEFAME,w/o Web Search,w/o RIS,w/o Image Search,w/o Geolocate
BA,0.86 ± 0.04,0.63 ± 0.01,0.87 ± 0.08,0.85 ± 0.04,0.91 ± 0.03
MCC,0.60 ± 0.07,0.28 ± 0.03,0.59 ± 0.10,0.56 ± 0.05,0.67 ± 0.04
TNR,0.90 ± 0.01,0.93 ± 0.02,0.89 ± 0.02,0.88 ± 0.02,0.90 ± 0.01
Macro F1,0.79 ± 0.04,0.64 ± 0.02,0.78 ± 0.03,0.77 ± 0.03,0.82 ± 0.02
Correct,70 ± 1,68 ± 1,70 ± 2,68 ± 2,72 ± 1
Wrong,8 ± 2,11 ± 1,9 ± 1,10 ± 1,7 ± 1
Consistently Wrong,0,5,3,1,3
FP,7 ± 1,5 ± 1,8 ± 1,8 ± 1,7 ± 1
FN,2 ± 1,6 ± 0,1 ± 2,2 ± 1,1 ± 1
